MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2013-07-24,Zimbabwe,India,Harare Sports Club,India,field,India
2016-08-27,England,Pakistan,Lord's,Pakistan,bat,England
2023-07-16,Bangladesh,India,"Shere Bangla National Stadium, Mirpur",India,field,Bangladesh
2024-08-17,Netherlands,Canada,"Hazelaarweg, Rotterdam",Canada,field,Netherlands
2021-07-15,West Indies,Pakistan,"Sir Vivian Richards Stadium, North Sound, Antigua",Pakistan,field,Pakistan
2017-06-30,West Indies,India,"Sir Vivian Richards Stadium, North Sound",West Indies,field,India
2007-10-18,Kenya,Canada,Gymkhana Club Ground,Kenya,field,Kenya
2007-04-21,West Indies,England,"Kensington Oval, Bridgetown",England,field,England
2021-07-01,Sri Lanka,England,"Kennington Oval, London",England,field,England
2023-06-30,United States of America,Ireland,"Takashinga Sports Club, Highfield, Harare",Ireland,field,Ireland
2004-10-16,Sri Lanka,Pakistan,Gaddafi Stadium,Pakistan,field,Sri Lanka
2016-10-09,South Africa,Australia,St George's Park,Australia,bat,South Africa
2014-03-02,West Indies,England,"Sir Vivian Richards Stadium, North Sound",England,field,England
2009-02-10,Australia,New Zealand,Adelaide Oval,New Zealand,bat,Australia
2014-02-17,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Bangladesh,field,Sri Lanka
2015-10-22,India,South Africa,"MA Chidambaram Stadium, Chepauk",India,bat,India
2016-10-12,South Africa,Australia,Newlands,South Africa,bat,South Africa
2018-07-10,England,New Zealand,County Ground,England,bat,England
2003-10-29,New Zealand,Australia,"Nahar Singh Stadium, Faridabad",New Zealand,bat,Australia
2010-06-18,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,Sri Lanka,bat,Sri Lanka
2006-02-18,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
2014-11-13,Australia,West Indies,Hurstville Oval,Australia,bat,Australia
2019-09-17,United States of America,Namibia,Central Broward Regional Park Stadium Turf Ground,Namibia,bat,United States of America
2023-09-23,England,Ireland,"Trent Bridge, Nottingham",Ireland,field,England
2013-11-10,Sri Lanka,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",New Zealand,field,No Result
2019-07-02,England,Australia,Grace Road,Australia,field,Australia
2022-07-27,India,West Indies,"Queen's Park Oval, Port of Spain, Trinidad",India,bat,India
2017-05-12,Ireland,Bangladesh,Malahide,Ireland,field,No Result
2011-09-03,England,India,Riverside Ground,England,field,No Result
2024-08-19,United States of America,Canada,"Hazelaarweg, Rotterdam",Canada,field,United States of America
2018-03-04,New Zealand,West Indies,Bert Sutcliffe Oval,West Indies,field,New Zealand
2006-07-01,England,Sri Lanka,Headingley,England,bat,Sri Lanka
2003-10-05,Pakistan,South Africa,"Gaddafi Stadium, Lahore",South Africa,field,Pakistan
2006-03-19,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,field,Pakistan
2009-01-23,Australia,South Africa,Sydney Cricket Ground,Australia,bat,South Africa
2012-08-28,England,South Africa,The Rose Bowl,South Africa,bat,South Africa
2007-09-02,England,India,Headingley,England,field,India
2010-01-11,Bangladesh,India,Shere Bangla National Stadium,India,field,India
2007-02-14,India,Sri Lanka,"Nehru Stadium, Fatorda",Sri Lanka,bat,India
2012-06-29,England,Australia,Lord's,Australia,field,England
2016-01-20,Australia,India,Manuka Oval,Australia,bat,Australia
2008-02-22,Pakistan,Netherlands,Stellenbosch University 2,Pakistan,bat,Pakistan
2024-12-21,Australia,New Zealand,"Basin Reserve, Wellington",New Zealand,field,Australia
2019-10-05,Australia,Sri Lanka,Allan Border Field,Australia,bat,Australia
2015-03-08,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
2013-11-24,India,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,West Indies,field,West Indies
2005-09-04,Zimbabwe,India,Harare Sports Club,India,field,India
2018-02-25,England,New Zealand,Seddon Park,New Zealand,field,New Zealand
2017-02-17,Sri Lanka,South Africa,P Sara Oval,Sri Lanka,bat,South Africa
2019-02-24,Australia,New Zealand,Karen Rolton Oval,New Zealand,field,Australia
2024-03-21,Australia,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,Australia
2004-04-20,Zimbabwe,Sri Lanka,Queens Sports Club,Sri Lanka,field,Sri Lanka
2019-02-11,South Africa,Sri Lanka,Senwes Park,Sri Lanka,field,South Africa
2018-03-12,Ireland,United Arab Emirates,Old Hararians,United Arab Emirates,field,Ireland
2015-11-04,Sri Lanka,West Indies,R Premadasa Stadium,West Indies,bat,Sri Lanka
2004-09-21,Australia,England,Edgbaston,England,field,England
2023-09-09,Sri Lanka,Bangladesh,"R Premadasa Stadium, Colombo",Bangladesh,field,Sri Lanka
2010-11-05,Pakistan,South Africa,Dubai International Cricket Stadium,South Africa,bat,Pakistan
2023-07-27,West Indies,India,"Kensington Oval, Bridgetown, Barbados",India,field,India
2022-02-22,New Zealand,India,"John Davies Oval, Queenstown",India,field,New Zealand
2014-11-16,Australia,South Africa,Western Australia Cricket Association Ground,Australia,bat,South Africa
2003-01-08,New Zealand,India,"Westpac Stadium, Wellington",New Zealand,bat,India
2024-11-06,England,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,West Indies
2006-10-25,New Zealand,Pakistan,"Punjab Cricket Association Stadium, Mohali",Pakistan,field,New Zealand
2024-09-11,England,Ireland,"Civil Service Cricket Club, Stormont, Belfast",England,bat,Ireland
2015-09-03,England,Australia,The Rose Bowl,Australia,bat,Australia
2018-07-25,West Indies,Bangladesh,Providence Stadium,Bangladesh,field,West Indies
2024-02-04,Australia,West Indies,Sydney Cricket Ground,West Indies,field,Australia
2010-02-07,Australia,West Indies,Melbourne Cricket Ground,West Indies,field,Australia
2021-09-14,Nepal,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,Oman
2006-02-06,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
2023-06-24,Nepal,Netherlands,"Takashinga Sports Club, Highfield, Harare",Netherlands,field,Netherlands
2008-01-21,Pakistan,Zimbabwe,National Stadium,Zimbabwe,field,Pakistan
2017-07-08,New Zealand,Pakistan,County Ground,Pakistan,bat,New Zealand
2023-09-17,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,India
2017-03-03,West Indies,England,"Sir Vivian Richards Stadium, North Sound",West Indies,field,England
2018-03-06,Hong Kong,Scotland,Bulawayo Athletic Club,Scotland,field,Scotland
2017-09-19,West Indies,England,Old Trafford,West Indies,bat,England
2010-10-29,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,South Africa
2011-11-23,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka,bat,Pakistan
2009-11-10,South Africa,Zimbabwe,SuperSport Park,Zimbabwe,field,South Africa
2003-12-01,Pakistan,New Zealand,"Gaddafi Stadium, Lahore",Pakistan,bat,Pakistan
2024-12-17,South Africa,Pakistan,"Boland Park, Paarl",South Africa,bat,Pakistan
2023-04-23,Zimbabwe,Thailand,"Terdthai Cricket Ground, Bangkok",Zimbabwe,bat,Thailand
2014-01-12,Australia,England,Melbourne Cricket Ground,England,bat,Australia
2014-05-22,England,Sri Lanka,Kennington Oval,Sri Lanka,field,England
2015-09-11,England,Australia,Headingley,Australia,bat,England
2013-02-10,Australia,Sri Lanka,Brabourne Stadium,Australia,field,Australia
2023-10-25,Australia,Netherlands,"Arun Jaitley Stadium, Delhi",Australia,bat,Australia
2011-12-11,India,West Indies,"MA Chidambaram Stadium, Chepauk",India,bat,India
2018-09-16,Hong Kong,Pakistan,Dubai International Cricket Stadium,Hong Kong,bat,Pakistan
2022-03-10,New Zealand,India,"Seddon Park, Hamilton",India,field,New Zealand
2012-09-02,England,South Africa,Lord's,England,field,England
2018-02-01,South Africa,India,Kingsmead,South Africa,bat,India
2023-09-14,England,Sri Lanka,"Grace Road, Leicester",Sri Lanka,field,England
2021-09-07,Papua New Guinea,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,bat,Nepal
2022-03-22,South Africa,Australia,"Basin Reserve, Wellington",Australia,field,Australia
2007-04-20,Australia,New Zealand,"National Cricket Stadium, St George's",Australia,bat,Australia
2007-08-21,England,India,The Rose Bowl,India,field,England
2016-09-04,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,Australia
2017-03-25,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,Sri Lanka,field,Bangladesh
2011-03-03,Canada,Pakistan,R Premadasa Stadium,Pakistan,bat,Pakistan
2015-11-05,New Zealand,Sri Lanka,Bert Sutcliffe Oval,New Zealand,field,New Zealand
2018-06-13,Australia,England,Kennington Oval,Australia,bat,England
2015-03-21,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
2010-10-17,Bangladesh,New Zealand,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh
2006-11-05,Australia,West Indies,Brabourne Stadium,West Indies,bat,Australia
2008-04-13,Pakistan,Bangladesh,Gaddafi Stadium,Pakistan,bat,Pakistan
2021-07-26,West Indies,Australia,"Kensington Oval, Bridgetown, Barbados",West Indies,bat,Australia
2011-02-28,Canada,Zimbabwe,"Vidarbha Cricket Association Stadium, Jamtha",Zimbabwe,bat,Zimbabwe
2022-02-08,England,Australia,"Junction Oval, Melbourne",England,bat,Australia
2009-04-17,South Africa,Australia,New Wanderers Stadium,South Africa,field,Australia
2011-01-26,New Zealand,Pakistan,Queenstown Events Centre,New Zealand,field,No Result
2012-06-18,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,Sri Lanka
2019-03-21,Sri Lanka,England,FTZ Sports Complex (BOI),Sri Lanka,bat,England
2023-11-06,Sri Lanka,Bangladesh,"Arun Jaitley Stadium, Delhi",Bangladesh,field,Bangladesh
2014-12-16,Sri Lanka,England,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2007-11-18,India,Pakistan,Sawai Mansingh Stadium,India,field,Pakistan
2022-07-22,England,South Africa,"Old Trafford, Manchester",South Africa,field,England
2019-06-25,England,Australia,Lord's,England,field,Australia
2011-06-16,West Indies,India,"Sabina Park, Kingston",West Indies,field,West Indies
2014-11-21,Bangladesh,Zimbabwe,Zahur Ahmed Chowdhury Stadium,Zimbabwe,field,Bangladesh
2010-08-16,Sri Lanka,India,Rangiri Dambulla International Stadium,Sri Lanka,bat,India
2014-05-25,England,Sri Lanka,Riverside Ground,England,field,Sri Lanka
2022-01-13,West Indies,Ireland,"Sabina Park, Kingston, Jamaica",Ireland,field,Ireland
2016-11-09,Sri Lanka,England,Sinhalese Sports Club Ground,Sri Lanka,bat,England
2010-09-10,England,Pakistan,Riverside Ground,Pakistan,field,England
2020-03-01,Sri Lanka,West Indies,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka
2018-10-20,Sri Lanka,England,Pallekele International Cricket Stadium,England,field,England
2013-01-13,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field,Sri Lanka
2012-11-10,Sri Lanka,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,Sri Lanka
2022-01-19,South Africa,India,"Boland Park, Paarl",South Africa,bat,South Africa
2008-11-26,India,England,Barabati Stadium,India,field,India
2013-01-15,India,England,Nehru Stadium,India,bat,India
2014-02-20,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,bat,Sri Lanka
2004-12-01,England,Zimbabwe,Harare Sports Club,England,bat,England
2007-03-16,England,New Zealand,"Beausejour Stadium, Gros Islet",New Zealand,field,New Zealand
2011-06-28,England,Sri Lanka,Kennington Oval,Sri Lanka,field,England
2023-03-15,Papua New Guinea,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",Papua New Guinea,bat,United Arab Emirates
2006-04-29,West Indies,Zimbabwe,"Antigua Recreation Ground, St John's",West Indies,field,West Indies
2024-04-04,England,New Zealand,"Seddon Park, Hamilton",England,bat,England
2019-06-21,Netherlands,Zimbabwe,Sportpark Het Schootsveld,Zimbabwe,bat,Netherlands
2023-10-19,Ireland,Scotland,"Desert Springs Cricket Ground, Almeria",Ireland,bat,Ireland
2024-03-26,Papua New Guinea,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe
2014-10-21,New Zealand,South Africa,Bay Oval,South Africa,field,South Africa
2008-02-02,Pakistan,Zimbabwe,Sheikhupura Stadium,Zimbabwe,bat,Pakistan
2015-02-15,South Africa,Zimbabwe,Seddon Park,Zimbabwe,field,South Africa
2017-07-15,Australia,South Africa,County Ground,Australia,bat,Australia
2023-07-09,Sri Lanka,Netherlands,Harare Sports Club,Netherlands,field,Sri Lanka
2024-11-03,United Arab Emirates,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,field,United Arab Emirates
2019-06-02,Bangladesh,South Africa,Kennington Oval,South Africa,field,Bangladesh
2009-12-24,India,Sri Lanka,Eden Gardens,Sri Lanka,bat,India
2024-08-11,Canada,Netherlands,"Sportpark Westvliet, The Hague",Canada,bat,Netherlands
2023-05-04,Sri Lanka,Bangladesh,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,bat,Sri Lanka
2022-02-08,Oman,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,field,No Result
2022-04-03,Australia,England,"Hagley Oval, Christchurch",England,field,Australia
2006-12-03,Bangladesh,Zimbabwe,Shaheed Chandu Stadium,Bangladesh,field,Bangladesh
2022-03-24,Pakistan,England,"Hagley Oval, Christchurch",England,field,England
2006-09-15,South Africa,Zimbabwe,Goodyear Park,Zimbabwe,bat,South Africa
2008-08-20,Sri Lanka,India,Rangiri Dambulla International Stadium,India,field,India
2007-07-04,England,West Indies,Edgbaston,England,field,West Indies
2021-03-07,India,South Africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,South Africa,field,South Africa
2011-03-16,Australia,Canada,M Chinnaswamy Stadium,Canada,bat,Australia
2005-02-11,South Africa,England,Kingsmead,South Africa,bat,No Result
2015-03-20,Australia,Pakistan,Adelaide Oval,Pakistan,bat,Australia
2014-05-04,Hong Kong,United Arab Emirates,Kinrara Academy Oval,United Arab Emirates,field,United Arab Emirates
2016-08-30,England,Pakistan,Trent Bridge,England,bat,England
2009-04-22,Australia,Pakistan,Dubai Sports City Cricket Stadium,Australia,bat,Pakistan
2016-09-01,England,Pakistan,Headingley,Pakistan,bat,England
2009-01-14,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Bangladesh,field,Bangladesh
2019-07-11,Australia,England,Edgbaston,Australia,bat,England
2016-02-20,New Zealand,Australia,Bay Oval,Australia,field,New Zealand
2023-03-18,Bangladesh,Ireland,Sylhet International Cricket Stadium,Ireland,field,Bangladesh
2004-06-29,England,New Zealand,Riverside Ground,New Zealand,field,New Zealand
2006-04-30,West Indies,Zimbabwe,"Antigua Recreation Ground, St John's",West Indies,bat,West Indies
2015-04-17,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh
2022-12-17,New Zealand,Bangladesh,"Seddon Park, Hamilton",Bangladesh,field,No Result
2024-11-13,Sri Lanka,New Zealand,Rangiri Dambulla International Stadium,Sri Lanka,bat,Sri Lanka
2013-07-26,Sri Lanka,South Africa,Pallekele International Cricket Stadium,South Africa,bat,South Africa
2017-02-19,New Zealand,South Africa,Seddon Park,South Africa,field,South Africa
2012-08-31,England,South Africa,Kennington Oval,South Africa,bat,England
2004-09-01,India,England,Trent Bridge,England,field,England
2017-05-09,South Africa,India,North-West University No1 Ground,India,field,India
2023-01-21,Australia,Pakistan,"North Sydney Oval, Sydney",Pakistan,field,Australia
2003-10-10,Pakistan,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat,South Africa
2018-04-12,England,India,"Vidarbha Cricket Association Stadium, Jamtha",England,bat,India
2006-01-20,Australia,South Africa,Docklands Stadium,Australia,bat,Australia
2005-08-17,Africa XI,Asia XI,SuperSport Park,Asia XI,field,Africa XI
2011-03-10,Sri Lanka,Zimbabwe,Pallekele International Cricket Stadium,Zimbabwe,field,Sri Lanka
2003-01-09,Sri Lanka,Australia,Sydney Cricket Ground,Australia,field,Sri Lanka
2004-07-01,West Indies,England,Headingley,England,field,England
2022-01-21,Sri Lanka,Zimbabwe,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka
2003-06-11,Sri Lanka,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field,West Indies
2005-01-23,Pakistan,Australia,Sydney Cricket Ground,Australia,field,Australia
2023-11-05,India,South Africa,"Eden Gardens, Kolkata",India,bat,India
2023-10-09,New Zealand,Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,field,New Zealand
2018-07-07,England,New Zealand,Headingley,England,bat,England
2022-12-05,Scotland,Namibia,"United Cricket Club Ground, Windhoek",Namibia,field,Namibia
2006-06-24,England,Sri Lanka,Riverside Ground,England,bat,Sri Lanka
2011-12-02,India,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,India
2024-02-19,Namibia,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,Netherlands
2024-08-04,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka
2022-08-07,Bangladesh,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe
2020-01-17,India,Australia,Saurashtra Cricket Association Stadium,Australia,field,India
2003-03-03,Canada,New Zealand,"Willowmoore Park, Benoni",New Zealand,field,New Zealand
2021-09-19,England,New Zealand,"County Ground, New Road, Worcester",New Zealand,field,England
2016-09-30,Pakistan,West Indies,Sharjah Cricket Stadium,West Indies,field,Pakistan
2016-11-13,New Zealand,Pakistan,Bert Sutcliffe Oval,Pakistan,bat,New Zealand
2013-07-02,India,Sri Lanka,"Sabina Park, Kingston",India,field,Sri Lanka
2007-03-24,Australia,South Africa,"Warner Park, Basseterre",South Africa,field,Australia
2018-06-10,New Zealand,Ireland,The Vineyard,New Zealand,bat,New Zealand
2013-02-01,Australia,West Indies,Western Australia Cricket Association Ground,West Indies,bat,Australia
2023-12-30,Australia,India,"Wankhede Stadium, Mumbai",Australia,bat,Australia
2019-02-09,Pakistan,West Indies,ICC Academy,Pakistan,bat,Pakistan
2017-06-12,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
2019-02-20,New Zealand,Bangladesh,University Oval,Bangladesh,field,New Zealand
2018-10-18,Pakistan,Australia,Kinrara Academy Oval,Pakistan,bat,Australia
2015-05-08,Ireland,England,"The Village, Malahide",England,field,No Result
2013-09-24,South Africa,Bangladesh,SuperSport Park,South Africa,field,South Africa
2017-06-18,India,Pakistan,Kennington Oval,India,field,Pakistan
2014-05-28,England,Sri Lanka,Old Trafford,England,field,England
2003-01-23,England,Australia,Sydney Cricket Ground,England,bat,Australia
2013-03-24,South Africa,Pakistan,Willowmoore Park,Pakistan,bat,South Africa
2007-04-16,Australia,Sri Lanka,"National Cricket Stadium, St George's",Sri Lanka,bat,Australia
2024-08-02,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,No Result
2016-11-29,Australia,South Africa,International Sports Stadium,South Africa,field,Australia
